latency_ms,packet_loss_pct,availability_pct,energy_usage_pct,resource_utilization_pct,network_health_score,overall_health_index,health_category
45.6,4.02,96.53,80.78,32.06,35.93,50.569,Warning
43.86,4.31,93.37,90.18,72.87,26.21,54.381,Warning
29.97,4.52,94.49,56.32,81.62,38.67,49.49099999999999,Warning
6.13,4.35,92.63,52.59,41.1,52.51,39.68899999999999,Critical
41.55,4.76,96.63,45.45,22.06,38.87,45.478,Warning
27.72,1.19,97.84,74.15,32.81,64.03,45.949,Warning
10.16,1.98,90.03,79.8,99.57,51.13,47.572,Warning
23.47,4.41,99.56,89.63,96.55,49.2,54.503,Warning
39.7,0.98,98.84,77.98,89.62,56.7,54.64600000000001,Warning
28.15,2.19,97.23,50.27,42.71,59.47,44.754000000000005,Warning
20.28,2.0,94.96,65.66,42.67,59.04,43.977000000000004,Warning
36.63,3.38,94.41,62.26,91.27,39.15,52.016,Warning
56.76,2.13,97.7,55.38,41.68,43.08,51.007,Warning
56.05,4.88,92.0,81.83,48.26,15.36,53.283,Warning
58.63,4.79,92.07,51.54,20.43,18.85,47.981,Warning
25.62,4.55,99.78,39.74,26.47,56.13,43.044000000000004,Warning
43.08,3.57,93.64,75.11,87.48,31.72,54.038,Warning
33.01,3.55,90.16,93.12,25.37,32.2,46.564,Warning
39.18,1.14,98.32,49.42,44.85,60.23,47.10099999999999,Warning
40.02,1.63,97.33,44.76,99.3,53.05,52.098,Warning
25.12,2.29,90.27,37.55,81.08,46.2,44.655,Warning
26.2,1.72,92.22,61.83,89.86,49.44,48.590999999999994,Warning
17.58,0.13,96.74,85.7,75.27,69.97,48.674,Warning
14.22,4.68,95.99,47.48,52.25,52.7,43.017999999999994,Warning
54.43,4.92,92.26,37.78,21.24,22.41,45.94200000000001,Warning
7.26,0.05,92.05,56.2,28.25,72.48,37.527,Critical
53.29,4.18,96.15,88.45,20.36,29.55,51.638,Warning
25.99,3.88,97.59,94.27,78.76,46.83,52.94200000000001,Warning
45.81,0.71,94.28,80.85,90.35,44.94,54.778999999999996,Warning
29.8,1.9,98.83,51.7,21.08,64.04,43.457,Warning
34.59,2.77,93.14,60.4,67.31,42.3,48.462,Warning
51.86,4.5,94.75,42.48,82.66,27.5,52.660999999999994,Warning
39.96,0.71,96.47,41.6,90.66,56.75,50.372,Warning
9.91,4.88,97.98,52.96,44.79,58.09,42.614999999999995,Warning
16.45,2.62,99.88,30.43,48.04,71.36,41.887,Warning
42.39,2.93,94.59,20.21,31.11,45.53,42.86599999999999,Warning
30.66,4.61,93.33,50.0,87.83,35.85,49.297,Warning
6.6,0.29,97.17,35.19,70.3,81.89,41.107,Warning
44.41,3.71,91.89,92.09,78.93,25.4,54.664,Warning
32.33,3.9,91.35,85.75,87.93,30.8,52.409,Warning
59.1,3.07,94.93,85.72,49.7,27.98,54.762,Warning
57.3,3.6,91.03,93.45,87.52,15.96,57.946000000000005,Warning
47.41,3.47,90.94,62.24,41.08,27.83,48.13699999999999,Warning
25.81,0.72,91.95,67.7,72.97,54.38,47.03,Warning
37.98,1.15,94.19,88.77,77.95,47.09,52.870000000000005,Warning
18.22,1.05,95.56,53.75,69.02,66.09,44.904,Warning
9.08,3.61,90.9,94.77,83.48,44.65,47.994,Warning
41.2,4.55,95.27,59.79,55.89,34.3,49.754,Warning
53.21,0.56,97.76,54.48,99.49,50.35,55.535,Warning
42.15,3.09,90.75,35.49,29.27,35.77,43.05799999999999,Warning
26.26,0.08,90.7,91.44,52.6,53.48,46.89,Warning
45.52,0.33,97.8,87.93,29.64,56.38,50.3,Warning
48.25,3.58,97.79,68.05,67.22,38.56,53.588,Warning
57.23,0.1,95.02,86.05,88.56,42.14,57.443000000000005,Warning
34.93,3.94,96.2,76.74,79.79,40.07,52.681,Warning
17.84,3.6,93.71,92.3,72.86,45.85,49.277,Warning
45.26,2.68,95.6,24.99,30.6,46.59,44.095,Warning
51.17,3.96,93.18,92.69,21.05,25.53,50.75,Warning
23.3,4.42,97.73,30.27,95.38,51.59,47.870000000000005,Warning
22.74,4.8,95.28,93.54,76.69,39.73,51.595,Warning
57.51,2.45,93.76,30.02,46.03,35.45,47.970000000000006,Warning
