timestamp,edge_id,cpu_pct,gpu_pct,memory_pct,requests_per_min,latency_ms
2026-01-01 00:00:00,E1,50.5,31.65,76.16,3614,9.26
2026-01-01 00:05:00,E4,85.13,13.18,29.44,7805,10.42
2026-01-01 00:10:00,E4,35.42,34.55,23.86,3076,7.92
2026-01-01 00:15:00,E4,65.73,44.28,45.17,4009,11.23
2026-01-01 00:20:00,E2,23.42,45.4,15.88,4510,8.34
2026-01-01 00:25:00,E2,83.0,40.78,68.21,7213,11.45
2026-01-01 00:30:00,E1,22.85,7.11,63.22,4242,8.4
2026-01-01 00:35:00,E3,97.83,34.49,60.82,2136,10.8
2026-01-01 00:40:00,E3,83.68,52.27,94.62,7571,9.88
2026-01-01 00:45:00,E3,46.69,5.58,71.06,842,6.93
2026-01-01 00:50:00,E2,12.35,95.38,50.79,1957,7.15
2026-01-01 00:55:00,E2,96.29,21.09,25.15,3970,10.1
2026-01-01 01:00:00,E2,22.01,83.72,67.38,4568,5.62
2026-01-01 01:05:00,E2,82.57,59.28,87.61,6762,8.89
2026-01-01 01:10:00,E4,90.79,20.03,73.96,4406,12.25
2026-01-01 01:15:00,E4,50.26,44.93,53.04,2035,8.78
2026-01-01 01:20:00,E2,76.72,9.91,26.8,1415,9.31
2026-01-01 01:25:00,E4,76.48,94.8,19.94,4027,11.01
2026-01-01 01:30:00,E3,28.48,74.01,43.1,1304,8.73
2026-01-01 01:35:00,E1,97.07,13.85,21.86,3284,12.01
2026-01-01 01:40:00,E1,50.1,59.09,56.28,4761,9.45
2026-01-01 01:45:00,E1,94.14,70.65,77.11,2857,9.48
2026-01-01 01:50:00,E3,84.12,55.82,93.27,2889,9.34
2026-01-01 01:55:00,E2,28.33,53.78,20.52,561,8.24
2026-01-01 02:00:00,E2,49.52,54.1,47.72,294,7.75
2026-01-01 02:05:00,E4,70.78,7.52,33.4,2035,9.08
2026-01-01 02:10:00,E2,73.64,30.79,66.25,2161,9.91
2026-01-01 02:15:00,E2,78.33,98.65,24.18,2874,12.2
2026-01-01 02:20:00,E4,10.94,86.83,11.73,5300,4.5
2026-01-01 02:25:00,E3,51.64,45.16,97.57,2599,8.67
2026-01-01 02:30:00,E1,74.09,15.36,31.21,1125,9.21
2026-01-01 02:35:00,E4,88.01,44.77,64.55,7081,10.1
2026-01-01 02:40:00,E1,93.72,14.34,90.78,1020,10.37
2026-01-01 02:45:00,E4,44.65,85.49,90.73,1020,7.55
2026-01-01 02:50:00,E3,93.15,48.79,24.09,6122,10.7
2026-01-01 02:55:00,E2,85.31,57.84,44.13,2920,10.37
2026-01-01 03:00:00,E4,61.54,61.71,60.17,3397,8.69
2026-01-01 03:05:00,E3,46.03,50.32,44.14,3041,8.39
2026-01-01 03:10:00,E1,24.58,86.19,96.26,5647,8.29
2026-01-01 03:15:00,E4,33.21,39.66,27.76,3134,6.89
2026-01-01 03:20:00,E2,25.14,39.17,38.62,4903,6.15
2026-01-01 03:25:00,E4,79.38,91.33,70.45,3471,10.51
2026-01-01 03:30:00,E2,53.4,99.76,74.88,1479,10.16
2026-01-01 03:35:00,E2,65.64,9.94,59.21,1834,9.27
2026-01-01 03:40:00,E3,57.29,79.73,45.46,3246,6.89
2026-01-01 03:45:00,E4,32.76,81.39,41.32,7642,7.12
2026-01-01 03:50:00,E4,10.41,71.98,27.68,3246,5.57
2026-01-01 03:55:00,E1,52.98,5.91,43.82,7696,8.74
2026-01-01 04:00:00,E1,11.05,97.3,85.73,3526,6.08
2026-01-01 04:05:00,E4,87.28,23.98,19.04,5649,12.13
2026-01-01 04:10:00,E2,50.41,14.72,27.14,7811,9.19
2026-01-01 04:15:00,E3,45.54,78.13,83.77,4828,8.98
2026-01-01 04:20:00,E4,14.89,62.05,63.88,5855,6.92
2026-01-01 04:25:00,E3,94.81,32.0,18.54,2589,13.0
2026-01-01 04:30:00,E4,67.09,73.3,47.51,1630,11.03
2026-01-01 04:35:00,E3,85.77,65.02,94.78,1566,11.85
2026-01-01 04:40:00,E4,22.02,78.79,76.16,1959,6.01
2026-01-01 04:45:00,E1,57.69,15.9,22.46,4141,10.19
2026-01-01 04:50:00,E3,67.52,8.84,10.16,6195,8.1
2026-01-01 04:55:00,E1,56.89,77.85,47.6,5516,7.82
2026-01-01 05:00:00,E1,64.11,11.16,83.63,5292,8.37
2026-01-01 05:05:00,E2,40.22,47.74,42.73,6224,7.5
2026-01-01 05:10:00,E2,13.21,62.67,11.06,676,3.92
2026-01-01 05:15:00,E1,27.38,30.44,60.64,2159,6.96
2026-01-01 05:20:00,E1,64.59,89.87,93.42,361,11.09
2026-01-01 05:25:00,E1,89.31,5.26,60.48,432,11.62
2026-01-01 05:30:00,E4,10.23,52.12,49.35,6274,4.73
2026-01-01 05:35:00,E4,76.26,58.97,25.71,6896,10.75
2026-01-01 05:40:00,E4,59.89,58.71,70.58,208,8.86
2026-01-01 05:45:00,E3,47.75,7.71,13.17,4153,7.69
2026-01-01 05:50:00,E4,47.42,39.31,94.1,1845,8.73
2026-01-01 05:55:00,E3,72.34,79.86,86.06,7969,9.25
2026-01-01 06:00:00,E1,87.99,77.74,33.99,3129,11.09
2026-01-01 06:05:00,E4,36.56,61.41,19.36,6187,8.5
2026-01-01 06:10:00,E1,73.09,23.55,22.16,7387,11.69
2026-01-01 06:15:00,E1,33.69,54.8,92.99,1712,6.09
2026-01-01 06:20:00,E2,37.84,46.74,81.64,7228,7.93
2026-01-01 06:25:00,E3,74.61,12.75,30.26,6908,10.46
2026-01-01 06:30:00,E3,97.63,85.59,33.4,6870,13.02
2026-01-01 06:35:00,E2,79.56,73.0,82.11,3454,12.17
2026-01-01 06:40:00,E4,61.18,73.05,98.35,3858,9.77
2026-01-01 06:45:00,E2,34.13,27.0,84.63,3741,7.68
2026-01-01 06:50:00,E2,70.41,6.44,87.1,2444,10.7
2026-01-01 06:55:00,E2,95.68,22.07,47.7,5281,12.07
2026-01-01 07:00:00,E4,74.21,49.99,25.09,7930,11.47
2026-01-01 07:05:00,E3,50.08,86.14,25.76,5266,8.19
2026-01-01 07:10:00,E4,19.17,56.68,17.12,1534,5.89
2026-01-01 07:15:00,E2,51.07,84.84,49.14,3693,9.09
2026-01-01 07:20:00,E2,98.21,62.7,35.24,4512,10.61
2026-01-01 07:25:00,E1,73.0,18.45,67.61,6255,10.54
2026-01-01 07:30:00,E2,79.49,61.34,67.13,7711,9.01
2026-01-01 07:35:00,E2,23.39,8.58,55.01,2850,6.32
2026-01-01 07:40:00,E2,63.94,28.58,81.94,5434,10.66
2026-01-01 07:45:00,E3,38.88,31.07,24.43,3680,9.42
