latency_ms,packet_loss_pct,availability_pct,energy_usage_pct,resource_utilization_pct,network_health_score
45.6,4.02,96.53,80.78,32.06,35.93
43.86,4.31,93.37,90.18,72.87,26.21
29.97,4.52,94.49,56.32,81.62,38.67
6.13,4.35,92.63,52.59,41.1,52.51
41.55,4.76,96.63,45.45,22.06,38.87
27.72,1.19,97.84,74.15,32.81,64.03
10.16,1.98,90.03,79.8,99.57,51.13
23.47,4.41,99.56,89.63,96.55,49.2
39.7,0.98,98.84,77.98,89.62,56.7
28.15,2.19,97.23,50.27,42.71,59.47
20.28,2.0,94.96,65.66,42.67,59.04
36.63,3.38,94.41,62.26,91.27,39.15
56.76,2.13,97.7,55.38,41.68,43.08
56.05,4.88,92.0,81.83,48.26,15.36
58.63,4.79,92.07,51.54,20.43,18.85
25.62,4.55,99.78,39.74,26.47,56.13
43.08,3.57,93.64,75.11,87.48,31.72
33.01,3.55,90.16,93.12,25.37,32.2
39.18,1.14,98.32,49.42,44.85,60.23
40.02,1.63,97.33,44.76,99.3,53.05
25.12,2.29,90.27,37.55,81.08,46.2
26.2,1.72,92.22,61.83,89.86,49.44
17.58,0.13,96.74,85.7,75.27,69.97
14.22,4.68,95.99,47.48,52.25,52.7
54.43,4.92,92.26,37.78,21.24,22.41
7.26,0.05,92.05,56.2,28.25,72.48
53.29,4.18,96.15,88.45,20.36,29.55
25.99,3.88,97.59,94.27,78.76,46.83
45.81,0.71,94.28,80.85,90.35,44.94
29.8,1.9,98.83,51.7,21.08,64.04
34.59,2.77,93.14,60.4,67.31,42.3
51.86,4.5,94.75,42.48,82.66,27.5
39.96,0.71,96.47,41.6,90.66,56.75
9.91,4.88,97.98,52.96,44.79,58.09
16.45,2.62,99.88,30.43,48.04,71.36
42.39,2.93,94.59,20.21,31.11,45.53
30.66,4.61,93.33,50.0,87.83,35.85
6.6,0.29,97.17,35.19,70.3,81.89
44.41,3.71,91.89,92.09,78.93,25.4
32.33,3.9,91.35,85.75,87.93,30.8
59.1,3.07,94.93,85.72,49.7,27.98
57.3,3.6,91.03,93.45,87.52,15.96
47.41,3.47,90.94,62.24,41.08,27.83
25.81,0.72,91.95,67.7,72.97,54.38
37.98,1.15,94.19,88.77,77.95,47.09
18.22,1.05,95.56,53.75,69.02,66.09
9.08,3.61,90.9,94.77,83.48,44.65
41.2,4.55,95.27,59.79,55.89,34.3
53.21,0.56,97.76,54.48,99.49,50.35
42.15,3.09,90.75,35.49,29.27,35.77
26.26,0.08,90.7,91.44,52.6,53.48
45.52,0.33,97.8,87.93,29.64,56.38
48.25,3.58,97.79,68.05,67.22,38.56
57.23,0.1,95.02,86.05,88.56,42.14
34.93,3.94,96.2,76.74,79.79,40.07
17.84,3.6,93.71,92.3,72.86,45.85
45.26,2.68,95.6,24.99,30.6,46.59
51.17,3.96,93.18,92.69,21.05,25.53
23.3,4.42,97.73,30.27,95.38,51.59
22.74,4.8,95.28,93.54,76.69,39.73
57.51,2.45,93.76,30.02,46.03,35.45
59.02,4.87,95.7,33.36,54.64,25.57
51.29,2.53,96.87,40.28,75.61,42.5
34.85,2.5,92.4,65.01,68.07,41.46
53.34,1.52,90.07,86.03,46.0,29.66
45.57,2.3,99.72,55.62,35.63,53.25
5.93,2.11,99.23,85.86,76.01,71.96
58.49,0.87,98.03,35.85,64.34,49.8
57.17,2.63,90.51,41.02,97.09,24.63
33.81,2.9,91.65,24.64,67.99,42.67
49.5,3.0,90.91,30.61,44.09,31.86
29.58,3.29,99.37,32.03,35.86,59.53
47.41,1.78,98.71,46.64,82.59,51.28
38.47,1.31,98.81,59.4,94.49,57.32
49.01,0.47,94.72,22.19,20.77,54.41
53.61,0.23,99.33,79.65,82.63,53.26
26.76,2.92,91.86,63.39,74.87,42.97
19.55,3.01,97.0,43.09,46.95,60.57
45.45,1.39,93.47,54.78,59.67,44.26
58.87,0.16,97.46,92.49,58.51,46.63
8.2,0.53,99.65,57.3,30.64,84.44
58.15,1.41,98.61,40.32,55.36,48.47
50.89,4.93,99.66,88.72,69.12,31.8
43.55,2.07,98.03,61.23,60.63,50.44
37.32,3.55,96.78,41.72,79.86,45.27
51.25,1.23,96.2,86.3,86.7,42.55
12.21,0.58,95.24,69.23,67.79,69.95
52.23,2.18,91.92,37.99,44.96,35.53
49.32,4.04,99.59,58.33,43.3,41.37
13.7,4.12,95.61,90.06,73.95,49.68
37.06,4.71,91.42,55.21,54.99,28.78
45.96,4.8,96.21,76.31,32.59,31.59
37.14,4.98,96.1,58.59,27.1,37.81
57.77,3.03,94.73,32.5,81.64,32.29
7.18,4.82,90.55,83.85,58.97,41.33
45.66,2.04,93.28,58.69,24.43,41.87
46.47,4.51,96.43,72.78,95.31,30.37
15.04,4.27,95.3,26.65,54.26,54.83
57.24,3.79,94.63,64.36,92.66,24.87
49.01,2.19,90.4,43.47,80.88,32.05
43.03,0.39,99.04,77.59,88.56,58.11
34.01,0.17,94.53,58.45,33.76,60.27
23.62,0.88,93.66,44.53,83.26,60.14
48.77,3.66,96.05,88.57,97.5,30.83
5.11,0.88,98.79,54.25,72.0,81.09
23.94,1.51,94.15,62.87,21.77,59.03
