tower_id,temperature_c,power_usage_pct,traffic_load,weather,cpu_usage_pct,failed
T10,66.92,85.65,1531,rain,98.78,1
T3,26.99,23.29,830,fog,26.08,0
T6,38.96,95.97,1191,rain,30.52,0
T3,20.48,48.53,1375,fog,94.08,0
T8,27.8,22.23,347,clear,19.94,0
T4,34.28,68.78,708,clear,70.6,0
T1,55.34,48.37,466,fog,34.23,0
T5,67.23,57.8,405,clear,20.09,0
T4,42.13,92.19,462,clear,24.61,0
T5,53.55,59.07,1604,storm,99.16,1
T2,31.48,41.86,327,rain,86.58,0
T7,47.73,38.32,1194,storm,85.29,0
T8,56.92,35.16,1479,clear,51.76,0
T9,33.23,37.38,793,clear,34.54,0
T2,27.28,39.32,751,storm,28.38,0
T4,29.98,60.63,1273,clear,84.83,0
T10,59.29,21.58,174,rain,35.56,0
T10,30.34,37.66,1073,storm,27.15,0
T10,43.44,47.22,513,storm,16.15,0
T6,23.83,20.11,578,fog,38.09,0
T8,25.82,43.37,1023,rain,95.82,0
T7,71.05,36.54,837,fog,11.58,0
T1,28.35,69.19,324,rain,26.47,0
T10,66.45,39.4,842,rain,10.47,0
T6,51.95,37.81,1160,clear,70.95,0
T9,36.53,81.58,629,clear,12.42,0
T5,30.91,94.88,1570,clear,79.44,1
T4,37.31,43.24,384,storm,76.86,0
T10,38.42,24.05,1581,rain,60.81,0
T9,58.6,32.98,757,fog,32.31,0
T2,51.84,58.67,1711,clear,96.39,1
T9,58.64,31.15,1415,fog,95.32,0
T2,42.53,87.83,1299,rain,10.22,0
T10,38.92,60.96,1543,fog,15.93,0
T3,43.37,50.71,1792,fog,88.53,0
T1,49.59,67.24,459,storm,91.18,1
T3,34.19,56.93,1488,rain,70.9,0
T2,31.43,55.6,1331,fog,92.53,0
T9,22.05,20.71,556,rain,17.63,0
T6,22.35,61.6,727,rain,16.33,0
T1,50.19,77.1,727,fog,37.01,0
T3,53.75,20.17,187,rain,36.17,0
T4,24.67,20.85,1693,clear,64.78,0
T4,50.33,56.84,1085,fog,33.21,0
T7,36.27,56.01,781,storm,89.34,0
T2,43.16,80.29,1109,fog,60.53,0
T9,57.1,31.4,809,fog,67.88,0
T5,22.55,31.11,123,fog,89.45,0
T6,72.28,93.66,1677,fog,20.86,0
T8,46.72,23.92,402,fog,75.87,0
T8,56.24,35.63,182,rain,98.55,0
T9,55.87,28.0,1314,fog,40.74,0
T6,68.84,49.66,122,fog,31.36,0
T7,32.42,81.36,531,rain,87.62,0
T9,26.29,74.44,1058,rain,36.02,0
T9,40.41,75.04,355,clear,58.95,0
T3,29.24,89.95,1252,storm,26.99,0
T5,35.83,91.8,1470,clear,61.93,0
T2,68.28,22.72,924,clear,80.6,0
T8,48.28,65.23,1554,clear,31.85,0
T10,69.67,30.25,719,clear,98.44,1
T4,29.88,92.91,1219,storm,76.05,0
T5,32.17,22.23,100,fog,27.77,0
T8,32.24,36.13,843,rain,51.91,0
T4,20.89,45.94,412,rain,24.89,0
T6,47.96,88.67,195,fog,78.16,0
T2,62.05,39.86,561,storm,58.74,1
T3,66.57,41.47,1688,fog,59.12,1
T7,62.51,37.49,1768,clear,27.74,1
T6,46.96,63.19,414,rain,63.24,0
T1,38.59,30.0,1089,rain,42.28,0
T10,36.0,39.26,452,storm,17.31,0
T5,28.67,97.41,435,clear,31.16,0
T8,34.67,42.87,219,rain,34.49,0
T10,58.9,97.45,465,rain,49.28,0
T8,72.77,37.99,1408,clear,83.04,0
T9,55.4,50.29,1356,rain,26.99,0
T7,65.17,53.27,1753,rain,85.05,1
T1,43.03,42.57,1266,rain,40.76,0
T3,42.43,47.08,464,storm,43.93,0
T4,59.45,41.95,1429,clear,81.69,0
T1,64.99,36.52,195,fog,78.79,0
T3,54.71,64.79,1750,clear,82.22,0
T6,38.77,88.22,841,storm,63.65,0
T4,67.63,59.24,674,storm,23.81,1
T8,41.4,22.98,1699,storm,26.35,1
T2,44.51,93.17,1231,fog,17.73,0
T4,36.76,36.47,185,fog,90.15,0
T4,72.69,56.94,1325,fog,75.8,0
T7,35.76,22.19,521,clear,89.11,0
T1,52.62,69.02,1440,clear,88.28,0
T2,63.33,90.76,476,rain,40.28,1
T3,29.93,60.28,366,fog,21.38,0
T2,33.15,97.17,313,clear,42.7,0
T5,64.99,29.93,347,storm,29.29,0
T3,41.24,25.7,348,fog,15.36,0
T2,28.17,21.05,873,rain,17.77,0
T2,46.5,60.0,1571,rain,42.0,0
T3,35.33,91.09,726,storm,35.89,1
T4,34.55,60.43,1578,storm,58.25,0
T1,57.12,67.29,1745,rain,22.89,0
T6,43.26,49.28,1564,rain,98.99,1
T6,67.95,47.47,1501,rain,67.53,0
T8,39.06,97.42,1608,fog,66.63,1
T8,38.38,33.75,1120,rain,53.2,0
T2,23.81,27.3,223,rain,84.46,0
T7,20.52,89.78,453,clear,99.45,0
T4,33.76,42.07,235,rain,84.91,0
T5,52.34,89.56,1799,rain,64.36,0
T8,54.69,93.94,1755,rain,21.28,1
T1,28.17,27.06,154,rain,84.11,0
T3,29.25,50.55,1631,clear,96.25,1
T5,32.17,81.01,1737,storm,46.88,1
T5,27.77,74.85,561,storm,15.52,0
T1,43.72,97.76,138,clear,49.95,0
T10,49.74,63.78,588,rain,40.9,0
T2,38.05,87.24,193,clear,33.94,0
T9,43.97,29.02,546,fog,10.64,0
T5,35.79,91.64,1597,fog,75.11,0
T6,69.15,50.81,1123,storm,13.81,1
T10,41.67,69.29,1024,rain,80.0,0
T4,59.41,66.16,915,rain,67.24,0
T5,23.84,71.54,652,clear,71.27,0
T1,67.77,82.88,498,fog,82.2,0
T9,30.84,23.38,1121,storm,51.54,0
T7,22.56,65.48,1347,fog,82.2,0
T2,44.15,81.44,1775,clear,31.12,0
T10,54.38,94.35,600,rain,29.19,0
T6,52.81,61.6,433,fog,27.92,0
T3,26.7,57.04,1060,rain,40.65,0
T9,31.77,74.42,959,clear,42.11,0
T7,25.92,75.2,1777,clear,98.96,1
T8,64.96,83.83,370,storm,30.74,1
T3,74.84,82.99,1642,fog,55.02,1
T2,56.35,55.36,1616,fog,79.08,0
T1,58.86,28.45,1780,clear,54.9,0
T10,55.41,40.02,782,rain,34.49,0
