timestamp,tower_id,video_users,voice_users,iot_devices,gaming_users,emergency_users
2026-01-01 00:00:00,T2,379,16,374,87,5
2026-01-01 00:05:00,T4,219,300,158,6,0
2026-01-01 00:10:00,T10,659,273,236,12,10
2026-01-01 00:15:00,T2,326,111,975,215,14
2026-01-01 00:20:00,T3,288,128,432,87,5
2026-01-01 00:25:00,T4,596,101,1178,249,7
2026-01-01 00:30:00,T2,583,141,929,162,0
2026-01-01 00:35:00,T3,356,286,136,5,3
2026-01-01 00:40:00,T7,512,155,978,228,11
2026-01-01 00:45:00,T2,93,186,226,152,18
2026-01-01 00:50:00,T10,485,40,491,33,2
2026-01-01 00:55:00,T9,417,273,1199,100,20
2026-01-01 01:00:00,T2,442,115,726,180,8
2026-01-01 01:05:00,T1,527,260,1162,186,3
2026-01-01 01:10:00,T3,507,230,318,231,0
2026-01-01 01:15:00,T10,634,260,446,32,11
2026-01-01 01:20:00,T10,220,141,783,70,3
2026-01-01 01:25:00,T2,599,111,922,213,19
2026-01-01 01:30:00,T9,631,256,710,190,19
2026-01-01 01:35:00,T2,312,26,620,60,8
2026-01-01 01:40:00,T10,478,226,885,202,7
2026-01-01 01:45:00,T7,567,80,1080,22,17
2026-01-01 01:50:00,T3,535,28,300,189,9
2026-01-01 01:55:00,T4,243,108,711,205,16
2026-01-01 02:00:00,T1,374,233,1017,222,0
2026-01-01 02:05:00,T1,365,45,630,8,9
2026-01-01 02:10:00,T2,648,279,1177,186,8
2026-01-01 02:15:00,T6,279,62,471,24,13
2026-01-01 02:20:00,T9,117,126,968,32,4
2026-01-01 02:25:00,T10,256,221,768,241,9
2026-01-01 02:30:00,T10,431,139,71,83,12
2026-01-01 02:35:00,T8,183,254,601,245,13
2026-01-01 02:40:00,T9,491,214,186,58,12
2026-01-01 02:45:00,T7,380,274,1052,53,10
2026-01-01 02:50:00,T4,327,28,442,104,16
2026-01-01 02:55:00,T10,439,44,472,95,5
2026-01-01 03:00:00,T3,223,35,517,208,9
2026-01-01 03:05:00,T5,630,81,1106,187,8
2026-01-01 03:10:00,T10,485,62,201,159,10
2026-01-01 03:15:00,T7,62,112,1130,91,17
2026-01-01 03:20:00,T3,622,168,287,21,7
2026-01-01 03:25:00,T1,90,212,363,24,18
2026-01-01 03:30:00,T9,411,105,1090,209,9
2026-01-01 03:35:00,T10,266,136,99,234,10
2026-01-01 03:40:00,T6,220,14,442,186,3
2026-01-01 03:45:00,T7,50,192,987,128,0
2026-01-01 03:50:00,T3,20,171,947,26,11
2026-01-01 03:55:00,T4,274,124,238,56,15
2026-01-01 04:00:00,T8,575,205,149,127,19
2026-01-01 04:05:00,T7,633,251,1148,19,5
2026-01-01 04:10:00,T8,150,184,579,49,15
2026-01-01 04:15:00,T9,442,145,886,215,4
2026-01-01 04:20:00,T1,102,167,232,34,8
2026-01-01 04:25:00,T5,95,127,727,70,0
2026-01-01 04:30:00,T5,203,38,767,139,5
2026-01-01 04:35:00,T2,242,157,137,50,8
2026-01-01 04:40:00,T7,587,234,335,28,4
2026-01-01 04:45:00,T6,169,20,1199,36,5
2026-01-01 04:50:00,T3,113,284,399,243,18
2026-01-01 04:55:00,T8,254,219,780,166,17
2026-01-01 05:00:00,T3,115,103,861,130,2
2026-01-01 05:05:00,T9,682,125,483,158,11
2026-01-01 05:10:00,T7,126,272,82,120,5
2026-01-01 05:15:00,T10,381,54,1142,223,12
2026-01-01 05:20:00,T8,406,126,72,133,17
2026-01-01 05:25:00,T6,395,74,525,140,20
2026-01-01 05:30:00,T10,65,239,827,179,5
2026-01-01 05:35:00,T7,357,202,694,186,0
2026-01-01 05:40:00,T10,443,130,835,105,2
2026-01-01 05:45:00,T1,183,57,800,15,0
2026-01-01 05:50:00,T5,159,119,117,133,10
2026-01-01 05:55:00,T5,550,196,752,240,2
2026-01-01 06:00:00,T4,263,93,95,144,14
2026-01-01 06:05:00,T8,572,224,942,147,3
2026-01-01 06:10:00,T1,495,163,812,55,10
2026-01-01 06:15:00,T10,413,297,233,183,13
2026-01-01 06:20:00,T9,379,175,793,176,18
2026-01-01 06:25:00,T1,123,118,1093,98,10
2026-01-01 06:30:00,T6,415,175,683,15,13
2026-01-01 06:35:00,T4,676,136,703,190,3
2026-01-01 06:40:00,T9,603,12,668,246,5
2026-01-01 06:45:00,T3,238,107,958,155,17
2026-01-01 06:50:00,T9,697,253,1152,58,17
2026-01-01 06:55:00,T5,654,185,358,52,1
2026-01-01 07:00:00,T6,298,240,57,210,12
2026-01-01 07:05:00,T3,676,34,1182,148,13
2026-01-01 07:10:00,T2,479,287,1085,53,7
2026-01-01 07:15:00,T1,219,32,652,164,5
2026-01-01 07:20:00,T7,411,259,495,149,17
2026-01-01 07:25:00,T6,552,105,380,236,8
2026-01-01 07:30:00,T8,56,63,869,182,0
2026-01-01 07:35:00,T10,206,165,967,73,20
2026-01-01 07:40:00,T8,568,84,677,149,6
2026-01-01 07:45:00,T10,332,106,563,222,4
2026-01-01 07:50:00,T9,645,102,436,164,5
2026-01-01 07:55:00,T5,184,63,986,188,7
2026-01-01 08:00:00,T7,109,155,539,25,7
2026-01-01 08:05:00,T8,662,19,1021,16,2
2026-01-01 08:10:00,T9,398,78,704,44,2
2026-01-01 08:15:00,T3,353,202,1109,104,11
2026-01-01 08:20:00,T4,622,155,1100,10,0
2026-01-01 08:25:00,T5,175,49,396,220,7
2026-01-01 08:30:00,T7,164,164,779,86,1
2026-01-01 08:35:00,T9,558,202,1078,197,16
2026-01-01 08:40:00,T5,65,143,522,192,8
2026-01-01 08:45:00,T9,132,234,317,169,17
2026-01-01 08:50:00,T5,683,26,723,153,12
2026-01-01 08:55:00,T5,464,276,671,115,1
2026-01-01 09:00:00,T6,156,23,664,204,20
2026-01-01 09:05:00,T8,206,194,367,181,8
2026-01-01 09:10:00,T9,184,225,566,244,18
2026-01-01 09:15:00,T7,523,10,684,206,17
2026-01-01 09:20:00,T2,101,101,258,32,8
2026-01-01 09:25:00,T2,107,83,1013,55,3
2026-01-01 09:30:00,T10,274,68,363,241,6
2026-01-01 09:35:00,T9,91,257,1167,7,18
2026-01-01 09:40:00,T2,122,212,914,195,18
2026-01-01 09:45:00,T6,618,177,1042,45,16
2026-01-01 09:50:00,T2,485,261,1004,207,13
2026-01-01 09:55:00,T4,686,202,700,75,15
2026-01-01 10:00:00,T5,46,299,65,69,19
2026-01-01 10:05:00,T10,192,247,913,12,18
2026-01-01 10:10:00,T1,421,158,1107,155,17
2026-01-01 10:15:00,T1,351,80,533,160,11
2026-01-01 10:20:00,T1,573,42,1185,172,9
2026-01-01 10:25:00,T6,453,154,328,143,6
2026-01-01 10:30:00,T1,476,277,923,110,15
2026-01-01 10:35:00,T8,23,142,731,218,13
2026-01-01 10:40:00,T10,247,158,1109,230,9
2026-01-01 10:45:00,T2,695,170,1150,138,8
2026-01-01 10:50:00,T6,595,73,464,121,5
2026-01-01 10:55:00,T2,463,176,404,138,5
2026-01-01 11:00:00,T4,229,234,637,178,17
2026-01-01 11:05:00,T1,63,262,340,127,20
2026-01-01 11:10:00,T2,531,52,967,39,3
2026-01-01 11:15:00,T10,518,278,1110,38,18
2026-01-01 11:20:00,T10,555,36,955,228,9
2026-01-01 11:25:00,T3,540,124,312,181,3
2026-01-01 11:30:00,T3,477,86,880,53,16
2026-01-01 11:35:00,T9,517,255,71,79,3
2026-01-01 11:40:00,T3,183,156,334,54,0
2026-01-01 11:45:00,T5,647,134,438,183,5
2026-01-01 11:50:00,T2,658,68,453,12,5
2026-01-01 11:55:00,T8,449,202,300,164,5
2026-01-01 12:00:00,T8,489,293,110,96,7
2026-01-01 12:05:00,T3,493,167,495,241,19
2026-01-01 12:10:00,T6,691,127,944,48,5
2026-01-01 12:15:00,T7,379,58,648,100,18
2026-01-01 12:20:00,T1,206,197,575,141,1
2026-01-01 12:25:00,T3,241,296,1018,73,15
2026-01-01 12:30:00,T1,462,210,1146,153,4
2026-01-01 12:35:00,T5,691,178,923,209,16
2026-01-01 12:40:00,T1,467,86,498,36,1
2026-01-01 12:45:00,T1,692,256,942,141,4
2026-01-01 12:50:00,T9,518,108,613,121,10
2026-01-01 12:55:00,T9,551,287,857,75,16
2026-01-01 13:00:00,T9,504,285,142,153,20
2026-01-01 13:05:00,T8,411,131,397,242,2
2026-01-01 13:10:00,T3,531,254,961,36,20
2026-01-01 13:15:00,T8,550,243,589,14,20
2026-01-01 13:20:00,T5,57,23,351,246,13
2026-01-01 13:25:00,T7,412,174,287,144,14
2026-01-01 13:30:00,T6,140,276,107,155,0
2026-01-01 13:35:00,T4,64,239,880,103,13
2026-01-01 13:40:00,T9,138,131,276,98,15
2026-01-01 13:45:00,T2,519,239,946,134,8
2026-01-01 13:50:00,T3,224,233,958,204,18
2026-01-01 13:55:00,T1,638,236,73,14,5
2026-01-01 14:00:00,T2,495,117,210,149,17
2026-01-01 14:05:00,T1,22,33,580,199,4
2026-01-01 14:10:00,T10,611,51,400,247,15
2026-01-01 14:15:00,T7,605,207,740,113,3
2026-01-01 14:20:00,T1,115,97,520,49,0
2026-01-01 14:25:00,T5,112,108,691,205,17
2026-01-01 14:30:00,T2,71,115,1003,82,7
2026-01-01 14:35:00,T2,617,159,192,229,20
2026-01-01 14:40:00,T3,673,75,117,130,6
2026-01-01 14:45:00,T10,357,193,965,148,15
2026-01-01 14:50:00,T8,490,194,417,178,6
2026-01-01 14:55:00,T8,674,66,945,31,19
2026-01-01 15:00:00,T2,302,142,729,113,7
2026-01-01 15:05:00,T7,35,26,648,43,18
2026-01-01 15:10:00,T6,599,178,190,56,8
2026-01-01 15:15:00,T6,448,155,331,88,15
2026-01-01 15:20:00,T10,434,108,840,48,11
2026-01-01 15:25:00,T8,79,25,839,45,0
2026-01-01 15:30:00,T2,133,230,285,90,8
2026-01-01 15:35:00,T3,454,271,85,110,0
2026-01-01 15:40:00,T7,128,109,532,247,13
2026-01-01 15:45:00,T1,386,169,485,154,15
2026-01-01 15:50:00,T6,673,236,1046,162,17
2026-01-01 15:55:00,T2,64,121,707,128,1
2026-01-01 16:00:00,T2,374,185,1040,84,17
2026-01-01 16:05:00,T7,655,19,115,11,18
2026-01-01 16:10:00,T8,700,121,407,69,2
2026-01-01 16:15:00,T9,557,220,83,21,7
2026-01-01 16:20:00,T10,198,271,1148,226,1
2026-01-01 16:25:00,T4,531,35,799,62,2
2026-01-01 16:30:00,T5,437,34,1037,152,14
2026-01-01 16:35:00,T7,105,283,982,65,13
2026-01-01 16:40:00,T10,88,271,796,114,2
2026-01-01 16:45:00,T6,465,254,474,156,15
2026-01-01 16:50:00,T8,336,270,1186,5,2
2026-01-01 16:55:00,T9,335,108,512,141,18
2026-01-01 17:00:00,T1,45,232,682,212,17
2026-01-01 17:05:00,T1,661,256,847,176,18
2026-01-01 17:10:00,T5,209,104,635,199,14
2026-01-01 17:15:00,T8,619,211,117,86,17
2026-01-01 17:20:00,T6,178,228,696,170,5
2026-01-01 17:25:00,T3,327,155,899,144,4
2026-01-01 17:30:00,T10,542,144,1187,148,12
2026-01-01 17:35:00,T2,683,141,930,191,9
2026-01-01 17:40:00,T1,532,292,1001,46,18
2026-01-01 17:45:00,T4,138,288,321,93,12
2026-01-01 17:50:00,T4,457,21,393,230,5
2026-01-01 17:55:00,T8,218,113,247,14,5
2026-01-01 18:00:00,T10,363,82,882,221,10
2026-01-01 18:05:00,T10,694,22,920,172,15
2026-01-01 18:10:00,T8,645,91,310,250,4
2026-01-01 18:15:00,T7,419,48,242,139,3
2026-01-01 18:20:00,T4,335,169,238,32,6
2026-01-01 18:25:00,T1,208,224,745,81,13
2026-01-01 18:30:00,T1,526,130,427,76,7
2026-01-01 18:35:00,T2,629,285,383,126,3
2026-01-01 18:40:00,T9,526,185,51,141,15
2026-01-01 18:45:00,T5,40,256,420,228,1
2026-01-01 18:50:00,T3,317,182,1123,41,16
2026-01-01 18:55:00,T9,101,177,1022,45,19
2026-01-01 19:00:00,T2,69,209,995,14,17
2026-01-01 19:05:00,T8,589,98,311,59,12
2026-01-01 19:10:00,T5,143,157,451,54,19
2026-01-01 19:15:00,T3,697,127,174,226,14
2026-01-01 19:20:00,T4,686,192,602,119,5
2026-01-01 19:25:00,T4,314,199,1192,92,3
2026-01-01 19:30:00,T2,571,32,1166,103,5
2026-01-01 19:35:00,T7,420,156,997,104,0
2026-01-01 19:40:00,T8,644,176,846,102,10
2026-01-01 19:45:00,T2,556,215,748,163,9
2026-01-01 19:50:00,T10,202,126,745,198,1
2026-01-01 19:55:00,T5,373,230,95,144,20
2026-01-01 20:00:00,T1,668,33,413,198,9
2026-01-01 20:05:00,T5,79,29,1198,229,5
2026-01-01 20:10:00,T10,487,73,700,98,5
2026-01-01 20:15:00,T9,633,125,1144,171,7
2026-01-01 20:20:00,T8,626,256,974,216,17
2026-01-01 20:25:00,T10,128,35,384,104,20
2026-01-01 20:30:00,T1,576,298,147,237,13
2026-01-01 20:35:00,T8,616,113,1168,77,11
2026-01-01 20:40:00,T4,225,49,709,222,15
2026-01-01 20:45:00,T3,49,204,860,243,19
2026-01-01 20:50:00,T3,406,85,340,20,2
2026-01-01 20:55:00,T8,686,24,1150,250,18
2026-01-01 21:00:00,T2,689,246,629,228,1
2026-01-01 21:05:00,T9,603,93,182,30,7
2026-01-01 21:10:00,T3,590,281,737,94,14
2026-01-01 21:15:00,T2,174,193,382,106,3
2026-01-01 21:20:00,T5,638,208,341,176,17
2026-01-01 21:25:00,T8,293,100,134,27,6
2026-01-01 21:30:00,T9,131,52,932,227,12
2026-01-01 21:35:00,T2,116,127,1133,137,14
2026-01-01 21:40:00,T6,670,28,588,202,3
2026-01-01 21:45:00,T9,416,151,678,70,8
2026-01-01 21:50:00,T4,356,141,1188,25,10
2026-01-01 21:55:00,T1,400,245,499,250,14
2026-01-01 22:00:00,T8,273,276,741,63,20
2026-01-01 22:05:00,T7,412,233,1119,26,5
2026-01-01 22:10:00,T4,163,295,914,155,16
2026-01-01 22:15:00,T8,302,137,214,9,15
2026-01-01 22:20:00,T7,31,44,428,201,3
2026-01-01 22:25:00,T7,287,28,987,111,15
2026-01-01 22:30:00,T2,416,296,171,214,14
2026-01-01 22:35:00,T4,635,268,147,33,19
2026-01-01 22:40:00,T10,99,203,945,150,17
2026-01-01 22:45:00,T4,258,126,228,78,15
2026-01-01 22:50:00,T8,645,108,1193,40,11
2026-01-01 22:55:00,T1,419,49,859,239,13
2026-01-01 23:00:00,T7,374,106,1008,46,10
2026-01-01 23:05:00,T1,415,226,756,153,2
2026-01-01 23:10:00,T6,588,184,422,225,2
2026-01-01 23:15:00,T7,297,43,592,176,12
2026-01-01 23:20:00,T9,410,13,301,126,5
2026-01-01 23:25:00,T5,74,19,347,235,10
2026-01-01 23:30:00,T2,109,85,370,55,2
2026-01-01 23:35:00,T7,25,21,328,71,14
2026-01-01 23:40:00,T8,332,273,294,223,14
2026-01-01 23:45:00,T10,610,44,665,15,7
2026-01-01 23:50:00,T8,187,268,644,26,6
2026-01-01 23:55:00,T9,269,219,380,232,5
2026-01-02 00:00:00,T5,692,141,401,62,20
2026-01-02 00:05:00,T10,251,272,93,153,4
2026-01-02 00:10:00,T4,492,23,872,190,10
2026-01-02 00:15:00,T7,439,118,224,14,10
2026-01-02 00:20:00,T1,142,223,333,225,20
2026-01-02 00:25:00,T1,385,125,1178,36,19
2026-01-02 00:30:00,T10,227,164,665,23,7
2026-01-02 00:35:00,T9,278,244,385,164,9
2026-01-02 00:40:00,T4,404,66,889,161,0
2026-01-02 00:45:00,T4,95,217,513,244,19
2026-01-02 00:50:00,T8,638,134,916,221,4
2026-01-02 00:55:00,T2,74,103,82,25,11
2026-01-02 01:00:00,T5,42,274,409,51,8
2026-01-02 01:05:00,T9,670,75,906,219,7
2026-01-02 01:10:00,T4,158,235,602,146,7
2026-01-02 01:15:00,T9,555,149,459,152,2
2026-01-02 01:20:00,T9,686,48,1062,77,7
2026-01-02 01:25:00,T10,166,20,1140,31,14
2026-01-02 01:30:00,T5,311,262,534,217,2
2026-01-02 01:35:00,T5,98,278,1196,190,6
2026-01-02 01:40:00,T1,677,240,844,70,7
2026-01-02 01:45:00,T6,98,77,360,26,15
2026-01-02 01:50:00,T7,633,82,649,95,3
2026-01-02 01:55:00,T5,489,25,374,131,17
2026-01-02 02:00:00,T4,674,150,198,128,20
2026-01-02 02:05:00,T9,405,200,976,185,4
2026-01-02 02:10:00,T6,263,205,1034,149,14
2026-01-02 02:15:00,T8,44,133,387,44,11
2026-01-02 02:20:00,T1,29,166,504,129,8
2026-01-02 02:25:00,T3,564,211,445,235,7
2026-01-02 02:30:00,T2,549,254,812,242,7
2026-01-02 02:35:00,T4,95,124,131,158,17
2026-01-02 02:40:00,T5,233,258,417,127,4
2026-01-02 02:45:00,T4,572,197,89,40,12
2026-01-02 02:50:00,T8,56,162,240,88,14
2026-01-02 02:55:00,T1,605,175,365,38,9
2026-01-02 03:00:00,T2,646,90,695,113,6
2026-01-02 03:05:00,T7,324,93,709,229,16
2026-01-02 03:10:00,T10,550,108,1181,209,16
2026-01-02 03:15:00,T8,454,40,898,15,8
2026-01-02 03:20:00,T3,598,140,1108,199,3
2026-01-02 03:25:00,T7,624,157,659,63,18
2026-01-02 03:30:00,T2,505,65,512,110,3
2026-01-02 03:35:00,T4,331,265,148,249,16
2026-01-02 03:40:00,T3,486,147,442,124,6
2026-01-02 03:45:00,T6,76,12,730,85,16
2026-01-02 03:50:00,T1,366,228,736,46,5
2026-01-02 03:55:00,T6,543,75,1080,213,0
