timestamp,tower_id,users,available_bandwidth_mbps,latency_ms,packet_loss_pct,power_usage_pct,temperature_c
2026-01-01 00:00:00,T5,719,58.86,23.74,3.14,91.93,60.74
2026-01-01 00:05:00,T2,449,74.76,17.72,1.68,49.52,63.14
2026-01-01 00:10:00,T6,86,94.26,14.5,2.77,85.73,56.31
2026-01-01 00:15:00,T4,122,83.93,12.5,0.53,41.46,60.39
2026-01-01 00:20:00,T3,1491,24.88,32.37,4.0,37.75,37.94
2026-01-01 00:25:00,T7,999,59.72,25.28,3.7,42.23,42.46
2026-01-01 00:30:00,T1,1367,22.31,31.73,3.71,65.38,33.39
2026-01-01 00:35:00,T9,1150,35.02,31.7,3.37,45.9,21.35
2026-01-01 00:40:00,T4,1320,40.3,30.7,2.33,31.59,37.15
2026-01-01 00:45:00,T10,537,63.64,23.54,3.22,80.13,23.21
2026-01-01 00:50:00,T2,736,55.33,26.1,2.54,83.39,63.13
2026-01-01 00:55:00,T1,1302,31.99,26.88,3.6,60.46,53.18
2026-01-01 01:00:00,T4,375,80.2,21.87,2.91,46.63,62.36
2026-01-01 01:05:00,T8,98,100.45,15.44,0.55,85.37,51.97
2026-01-01 01:10:00,T3,1461,21.78,29.25,3.93,50.85,53.31
2026-01-01 01:15:00,T2,670,74.65,19.05,1.18,77.99,23.25
2026-01-01 01:20:00,T7,365,76.49,16.22,2.04,39.42,21.77
2026-01-01 01:25:00,T3,1228,32.98,23.4,2.24,34.89,48.06
2026-01-01 01:30:00,T5,1443,23.44,29.47,1.72,72.32,28.54
2026-01-01 01:35:00,T4,163,98.26,13.81,0.38,36.01,54.68
2026-01-01 01:40:00,T2,1312,33.15,32.9,2.7,78.12,55.81
2026-01-01 01:45:00,T6,109,90.6,17.67,0.33,82.56,34.04
2026-01-01 01:50:00,T2,1366,36.83,28.7,4.01,30.87,23.95
2026-01-01 01:55:00,T10,387,72.12,17.57,2.75,45.62,28.2
2026-01-01 02:00:00,T7,827,60.69,18.53,1.96,21.77,49.96
2026-01-01 02:05:00,T7,1286,41.82,27.28,3.88,85.24,35.33
2026-01-01 02:10:00,T5,206,91.11,20.13,2.24,47.9,54.07
2026-01-01 02:15:00,T9,1298,37.93,25.57,2.32,79.32,62.84
2026-01-01 02:20:00,T8,352,78.39,17.43,2.51,71.24,21.42
2026-01-01 02:25:00,T4,1003,40.27,26.47,1.56,92.84,21.43
2026-01-01 02:30:00,T5,1253,39.99,32.97,2.76,86.96,24.07
2026-01-01 02:35:00,T5,1259,32.67,25.72,1.65,24.28,52.96
2026-01-01 02:40:00,T9,171,88.17,12.82,0.45,92.54,44.18
2026-01-01 02:45:00,T10,959,45.51,28.36,1.89,67.67,43.68
2026-01-01 02:50:00,T4,1446,26.48,29.26,3.82,54.57,32.99
2026-01-01 02:55:00,T4,828,56.28,26.3,2.87,29.04,32.71
2026-01-01 03:00:00,T1,1097,38.47,28.32,2.05,84.4,27.96
2026-01-01 03:05:00,T5,350,86.85,18.44,0.92,71.23,62.74
2026-01-01 03:10:00,T2,971,47.9,26.63,1.84,54.92,26.6
2026-01-01 03:15:00,T10,1229,32.75,28.32,3.17,26.51,54.49
2026-01-01 03:20:00,T1,862,50.78,26.57,1.27,38.28,55.19
2026-01-01 03:25:00,T6,558,78.3,20.92,1.77,72.31,26.55
2026-01-01 03:30:00,T5,1146,48.74,24.97,2.56,40.05,31.84
2026-01-01 03:35:00,T8,1262,46.86,32.36,3.57,25.1,64.68
2026-01-01 03:40:00,T8,1299,36.36,31.57,3.6,79.42,50.5
2026-01-01 03:45:00,T7,313,87.8,14.84,2.88,77.49,64.69
2026-01-01 03:50:00,T5,1111,38.16,30.2,2.18,88.09,29.2
2026-01-01 03:55:00,T3,517,64.67,21.59,3.19,72.49,51.45
2026-01-01 04:00:00,T1,51,106.51,17.33,1.75,86.57,34.92
2026-01-01 04:05:00,T9,926,59.4,25.07,3.42,58.97,30.93
2026-01-01 04:10:00,T2,979,42.03,30.04,2.56,30.85,53.44
2026-01-01 04:15:00,T6,1278,30.91,24.48,3.34,43.87,41.19
2026-01-01 04:20:00,T8,242,85.35,13.29,3.09,75.81,27.98
